Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,155174,7204,0,147970,46,4.64,0.0,0.0,38928341,3986.0,154800,374,0.24
Albania,170131,2698,0,167433,669,1.59,0.0,0.0,2877800,59118.0,165864,4267,2.57
Algeria,203359,5812,0,197547,161,2.86,0.0,0.0,43851043,4637.0,202283,1076,0.53
Andorra,15222,130,0,15092,13,0.85,0.0,0.0,77265,197010.0,15156,66,0.44
Angola,56583,1537,0,55046,0,2.72,0.0,0.0,32866268,1722.0,53840,2743,5.09
Antigua and Barbuda,3231,79,0,3152,43,2.45,0.0,0.0,97928,32994.0,2815,416,14.78
Argentina,5256902,115179,0,5141723,1641,2.19,0.0,0.0,45195777,116314.0,5246998,9904,0.19
Armenia,261697,5319,0,256378,1022,2.03,0.0,0.0,2963234,88315.0,255648,6049,2.37
Australia,107181,1311,0,105870,2058,1.22,0.0,0.0,50919400,2105.0,93942,13239,14.09
Austria,743095,11009,0,732086,2049,1.48,0.0,0.0,9006400,82507.0,730403,12692,1.74
Azerbaijan,483902,6525,0,477377,774,1.35,0.0,0.0,10139175,47726.0,477587,6315,1.32
Bahamas,20984,531,0,20453,0,2.53,0.0,0.0,393248,53361.0,20288,696,3.43
Bahrain,275057,1389,0,273668,76,0.5,0.0,0.0,1701583,161648.0,274614,443,0.16
Bangladesh,1555911,27510,0,1528401,860,1.77,0.0,0.0,164689383,9448.0,1548320,7591,0.49
Barbados,8381,74,0,8307,201,0.88,0.0,0.0,287371,29164.0,7065,1316,18.63
Belarus,538086,4143,0,533943,1989,0.77,0.0,0.0,9449321,56944.0,524248,13838,2.64
Belgium,1244954,25602,0,1219352,2133,2.06,0.0,0.0,23021022,54079.0,1231523,13431,1.09
Belize,20801,414,0,20387,233,1.99,0.0,0.0,397621,52314.0,19429,1372,7.06
Benin,23890,159,0,23731,0,0.67,0.0,0.0,12123198,1971.0,21450,2440,11.38
Bhutan,2601,3,0,2598,0,0.12,0.0,0.0,771612,3371.0,2599,2,0.08
Bolivia,500445,18735,0,481710,355,3.74,0.0,0.0,11673029,42872.0,498331,2114,0.42
Bosnia and Herzegovina,234775,10606,0,224169,1000,4.52,0.0,0.0,3280815,71560.0,230212,4563,1.98
Botswana,179220,2368,0,176852,1170,1.32,0.0,0.0,2351625,76211.0,176427,2793,1.58
Brazil,21427073,596749,0,20830324,27527,2.79,0.0,0.0,422706534,50690.0,21308178,118895,0.56
Brunei,7116,42,0,7074,166,0.59,0.0,0.0,437483,16266.0,5586,1530,27.39
Bulgaria,502162,20882,0,481280,2050,4.16,0.0,0.0,6948445,72270.0,489423,12739,2.6
Burkina Faso,14243,184,0,14059,30,1.29,0.0,0.0,20903278,681.0,14092,151,1.07
Burma,464076,17735,0,446341,1468,3.82,0.0,0.0,54409800,8529.0,453407,10669,2.35
Burundi,17728,38,0,17690,223,0.21,0.0,0.0,11890781,1491.0,16356,1372,8.39
Cabo Verde,37576,339,0,37237,41,0.9,0.0,0.0,555988,67584.0,37290,286,0.77
Cambodia,112651,2319,0,110332,978,2.06,0.0,0.0,16718971,6738.0,106619,6032,5.66
Cameroon,92303,1459,0,90844,0,1.58,0.0,0.0,26545864,3477.0,85414,6889,8.07
Canada,1631647,27914,0,1603733,3318,1.71,0.0,0.0,75750184,21540.0,1602413,29234,1.82
Central African Republic,11371,100,0,11271,0,0.88,0.0,0.0,4829764,2354.0,11340,31,0.27
Chad,5038,174,0,4864,1,3.45,0.0,0.0,16425859,307.0,5031,7,0.14
Chile,1654264,37468,0,1616796,858,2.26,0.0,0.0,36692988,45084.0,1649409,4855,0.29
China,108450,4849,0,103601,37,4.47,0.0,0.0,2809352660,39.0,108180,270,0.25
Colombia,4957277,126299,0,4830978,1429,2.55,0.0,0.0,99141018,50002.0,4946811,10466,0.21
